STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
34878099999,...,09/02/1973,08/12/1974,null,RS,45.783,46.333,
37503099999,ABASTUMANI,06/04/1973,29/09/1991,null,GG,41.717,42.833,1265
28815099999,ABDULINO,09/04/1962,27/10/1979,null,RS,53.7,53.65,164
37066099999,ACHIKULAK,01/01/1959,18/03/1982,null,RS,44.55,44.833,69
35133099999,ADAMOVKA,04/09/1949,10/07/1988,null,RS,51.533,59.983,285
37507099999,ADIGENI,11/05/1973,27/04/1991,null,GG,41.7,42.7,1185
34877099999,ADYK,15/01/1973,03/10/1982,null,RS,45.8,45.633,-11
17099099999,AGRI,21/11/2003,07/04/2020,null,TU,39.65,43.0333333,1664.81
17099099999,AGRI,21/11/2003,07/04/2020,null,TU,39.65,43.0333333,1664.81
37639099999,AGSTAPHA AIRPORT,03/01/1955,25/09/1991,null,AJ,41.1333333,45.4166666,333
37506099999,AHALCIHE,03/03/1960,26/09/1991,null,GG,41.633,42.983,982
37663099999,AHTY,01/01/1959,31/03/2020,null,RS,41.4666666,47.75,1015
36622099999,AJAGUZ,01/07/1957,02/04/1998,null,KZ,47.967,80.45,655
35037099999,AK'JAR,16/08/1960,07/04/2020,null,RS,51.8666666,58.1833333,341
38178099999,AK-BAJTAL,03/02/1957,07/04/2020,null,UZ,43.15,64.3333333,234
35127099999,AK-BULAK,29/04/1975,07/04/2020,null,RS,51.0166666,55.6333333,144
36443099999,AK-KEM,09/03/1961,31/12/1994,null,RS,49.9166666,86.5333333,2056
38191099999,AK-KUM,04/08/1959,07/04/2020,null,KZ,43.717,67.417,174
36994099999,AK-SYJRAK,29/12/1960,07/10/1998,null,KG,41.817,78.733,3540
35729099999,AK-TUMSUK,07/07/1957,20/08/1988,null,KZ,46.633,57.333,44
37602099999,AKHALQALAQI,02/01/1960,25/09/1991,null,GG,41.4166666,43.4833333,1716
37514099999,AKHALTSIKHE,08/05/1969,07/04/2020,null,GG,41.65,43,989
37448099999,AKHMETA,02/06/1976,29/09/1991,null,GG,42.033,45.217,546
35085099999,AKKOL',02/01/1959,07/04/2020,null,KZ,52,70.95,384
38232099999,AKKUDUK,02/07/1957,07/04/2020,null,KZ,42.9666666,54.1166666,78
35117199999,AKSAI,14/11/2019,07/04/2020,null,KZ,51.159847,52.99778,62.8
35117199999,AKSAI,14/11/2019,07/04/2020,null,KZ,51.159847,52.99778,62.8
28719099999,AKSAKOVO,04/01/1959,07/04/2020,null,RS,54.0166666,54.15,355.9
35083099999,AKSU,08/01/1959,30/12/1963,null,KZ,52.467,71.983,290
35498099999,AKSU-AYULY,17/05/2018,07/04/2020,null,KZ,48.783,73.667,724
36643099999,AKSUAT,10/01/1959,07/04/2020,null,KZ,47.8,82.833,548
38001099999,AKTAU,02/03/1936,07/04/2020,null,KZ,43.86005,51.091978,22.25
36467099999,AKTOGAJ,29/11/1963,31/03/1998,null,KZ,48.3,74.967,780
35229099999,AKTYUBINSK,01/01/1933,07/04/2020,null,KZ,50.245833,57.206667,224.94
28248099999,ALAPAEVSK,15/04/1953,10/01/1993,null,RS,57.8666666,61.7,130
27679099999,ALATYR',09/03/1955,07/04/2020,null,RS,54.8166666,46.5833333,180
29937099999,ALEJSKAJA,05/02/1948,07/04/2020,null,RS,52.5166666,82.7666666,175
34391099999,ALEKSANDROV-GAJ,02/08/1949,07/04/2020,null,RS,50.15,48.55,25
35478099999,ALGABAS,05/01/1981,28/09/1994,null,KZ,48.883,68.083,506
36686099999,ALGAZY OSTROV,30/06/1963,31/12/2014,null,KZ,46.55,76.8666666,349
36872099999,ALMATY,02/01/1933,07/04/2020,null,KZ,43.352072,77.040508,680.92
36870099999,ALMATY,02/01/1933,07/04/2020,null,KZ,43.2333333,76.9333333,851
51076099999,ALTAY,20/08/1956,07/04/2020,null,CH,47.7333333,88.0833333,737
37753099999,ALTIAGACH,09/12/1961,08/09/1991,null,AJ,40.8666666,48.9333333,1082
35361099999,AMANGELDY,18/02/1953,07/04/2020,null,KZ,50.1333333,65.2333333,142
37682099999,AMASIA,01/01/1959,07/04/2020,null,AM,40.95,43.7833333,1866
37308099999,AMBROLAURI,17/04/1969,07/04/2020,null,GG,42.5166666,43.1333333,544
35286099999,ANAR,04/06/1953,16/02/1980,null,KZ,50.617,72.433,437
36817099999,ANARKHAY,02/01/1959,07/04/2020,null,KZ,43.983,75.083,830
27787099999,ANNENKOVO,05/09/1974,27/10/1979,null,RS,54.1,47.333,192
29540099999,ANZERO-SUDZENSK,04/03/1953,07/12/1990,null,RS,56.117,86,259
37699099999,APARAN,01/01/1959,07/04/2020,null,AM,40.5333333,44.3833333,1892
27998099999,APPROXIMATE LOCALE,12/04/1975,27/10/1979,null,RS,52.633,49.217,46
35705099999,APPROXIMATE LOCALE,29/07/1962,07/04/2020,null,KZ,46.867,51.25,0
35656099999,APPROXIMATE LOCALE,17/05/2018,07/04/2020,null,KZ,47.633,64.583,0
37774099999,ARAGATS,01/01/1959,24/04/1988,null,AM,40.317,43.667,1255
35157099999,ARALKOL',29/07/1963,24/05/1998,null,KZ,51.083,62.7,230
35746099999,ARALSK,10/04/1948,07/04/2020,null,KZ,46.7833333,61.6666667,56
17046099999,ARDAHAN,06/09/2008,07/04/2020,null,TU,41.1166666,42.7166666,1829
28548099999,ARGAJAS,30/08/1974,15/11/1991,null,RS,55.517,60.917,254
36457099999,ARGAMJI,04/03/1961,30/09/1982,null,RS,49.283,87.917,2280
28726099999,ARHANGELSKOJE,24/11/1963,01/03/1993,null,RS,54.4,56.8,168
35363099999,ARKALYK,03/01/1969,07/04/2020,null,KZ,50.2166667,66.8333333,343
37787099999,ARMAVIR,01/01/1959,07/04/2020,null,AM,40.1333333,43.9033333,860.84
27593099999,ARSK,29/03/2012,07/04/2020,null,RS,56.0833333,49.8666666,156.96
37871099999,ARTASHAT,14/10/2014,07/04/2020,null,AM,39.95,44.55,833
28346099999,ARTEMOVSIJ,28/01/1959,10/01/1993,null,RS,57.3666666,61.9166666,154
28438099999,ARTI,21/08/1974,10/01/1993,null,RS,56.433,58.55,305
35284099999,ARYKTY,01/01/1981,07/04/2020,null,KZ,50.633,70.55,320
38316099999,ARYS,04/01/1959,06/04/2020,null,KZ,42.433,68.8,240
27653099999,ARZAMAS,10/01/1959,07/04/2020,null,RS,55.3666666,43.7833333,127
34964099999,ARZGIR,03/01/1959,27/05/1995,null,RS,45.4,44.2,76
34385099999,ASCE UZJAK,10/01/1959,15/07/1990,null,KZ,49.767,47.75,18
38196099999,ASHCHYSAI,21/03/1974,07/04/2020,null,KZ,43.55,68.9,822
37609099999,ASHOTSK,14/10/2014,07/04/2020,null,AM,41.0294444,43.8763889,2015
37785099999,ASHTARAK,14/10/2014,07/04/2020,null,AM,40.2833333,44.3502778,1090
28522099999,ASKINO,30/06/2005,07/04/2020,null,RS,56.1102777,56.5736111,206.5
37514199999,ASPINDZA,19/08/1996,04/10/1996,null,GG,41.5666666,43.25,983
36897099999,ASSI,25/01/1958,07/04/2020,null,KZ,43.317,78.25,2216
35188099999,ASTANA INTL,15/01/1934,07/04/2020,null,KZ,51.022222,71.466944,355.09
34880099999,ASTRAHAN',31/12/1936,31/03/2020,null,RS,46.2833333,47.9833333,-21.6
35394299999,ASTRAKHAN,10/05/2004,07/04/2020,null,RS,46.283333,48.006278,-20.11
35582099999,ATASU,04/01/1959,31/03/1998,null,KZ,48.7,71.633,488
35078099999,ATBASAR,04/01/1948,07/04/2020,null,KZ,51.8166666,68.3666666,304
34069099999,ATKARSK,01/01/1959,18/11/1979,null,RS,51.8666666,45.0333333,206
38141199999,ATYRAU,06/07/2004,07/04/2020,null,KZ,47.121944,51.821389,-21.94
35700099999,ATYRAU,30/04/1935,07/04/2020,null,KZ,47.1166666,51.9166666,-22
36744099999,AUL,02/07/1957,07/10/1998,null,KZ,45.633,75.117,353
38334099999,AUL TURARA RYSKULOVA,04/01/1959,07/04/2020,null,KZ,42.4833333,70.3,808
